id,created_at,text,polarity
1537498780144010000,17/06/22 01.14,@sahabatgiselle Pesen shopeefood yang makanan 24 jam gt kalau gaakkkk:(,positif
1537498557913400000,17/06/22 01.13,@holyzaa @FOODFESS2 pake shopeefood aja 24k bisa double lauk utama + lauk tambahan lain,positif
1537495458813480000,17/06/22 01.00,"Indo

Pesawat siapin budget : 1 - 1.5jt pp
Kereta : 400k pp
Tj / krl / gojek : 200k (hemat jalan kaki)
Hotel deket venue: 700-1jt/malem (seludupin aja 5 orng jg gapapa) 
Makan : bikin pop mie aja dah kalo ga beli nasi padang di shopeefood potongan 25k __",netral
1537480425895240000,17/06/22 00.01,"yaampun dapet driver shopee food baik bangettt huhuhu, sehat selalu untuk bapaknya &lt;3",positif
1537478559547390000,16/06/22 23.53,@ShopeePay_ID Mana miiinn???? Aku mau jajan di shopee food nii huhu,netral
1537475562846890000,16/06/22 23.41,@Belallangx Shopeefood dulu bang buat modal pacaran,positif
1537475138630760000,16/06/22 23.40,@ShopeeCare Jajan Shopeefood biar bisa makan bareng sama keluarga dirumah. Pengen nya beli donat @ShopeeCare,
1537474820774180000,16/06/22 23.38,"@ShopeeCare Buat ""madyang gedhen"" di shopeefood pastinya..",positif
1537470638444580000,16/06/22 23.22,"@ravenurs udahh kak avennn, udah shopeefood wkwk",netral
1537464743094420000,16/06/22 22.58,"@louimpia ENGGAK SUMPAHHH justru aku mau nemenin terus sampe loui ketemu cowok baik!! buat yang suka ghosting, semoga kalo mau order gofood/shopeefood menunya out of stock terus ______",negatif
1537459622461960000,16/06/22 22.38,@vinraffbigwin01 yuhuuu kuyy kak langsung aja meluncur ke fitur ShopeeFood km hihi biar makin laper__ met malam__^CI,netral
1537454530010390000,16/06/22 22.18,"jam segini lapar, baik aku akan pesen shopeefood saja?",positif
1537450846954220000,16/06/22 22.03,Mie gacoan kok nutup terus ya di gojek maupun shopeefood?,negatif
1537449152778370000,16/06/22 21.56,cara nyari di shopeefood gmn sih,netral
1537446535457540000,16/06/22 21.46,Ga tega banget ngeliat kamu sampe nyari akun shopee food gitu:(,negatif
1537446344549230000,16/06/22 21.45,@qqontoI MAU SHOPEEFOOD SEBLAK JADINYA__,netral
1537443984989390000,16/06/22 21.36,@ShopeeCare Jajan shopeeFood dong min aku kepengen banget martabak telur dari kmaren __,positif
1537439179512360000,16/06/22 21.17,"ketika ku memikirkan tantang makanan, jari ini dengan lembut menggeser menu shopeefood, namun hati ini terus berkata lirih ""hemat hemat hemat""",negatif
1537437890715580000,16/06/22 21.12,Shopee parah bangetttttttt lapar hujan mau co Shopeefood aja pke eror K06 emng paling bener pake grab sma gojek aja. Kalau gabisa ngasih peforma yang bagus dalam pelayanan jasa antar makanan mending gausah lah ngadain kek gtu @ShopeeCare,negatif
