stem,label
sen makan jam gt gaakkkk,positif
pake aja k double lauk utama lauk tambah,positif
indo pesawat siapin budget jt pp kereta k pp tj krl gojek k hemat jalan kaki hotel deket venue jtmalem seludupin aja orng jg gapapa makan bikin pop mie aja dah kalo ga beli nasi padang potong k,netral
yaampun dapet driver bangettt huhuhu sehat bapak lt,positif
miiinn jajan nii huhu,netral
bang modal pacar,positif
madyang gedhen pasti,positif
udahh kak avennn udah wkwk,netral
sumpahhh nemenin sampe loui ketemu cowok suka ghosting moga kalo order gofoodshopeefood menu out of stock,negatif
yuhuuu kuyy kak langsung aja luncur fitur km hihi biar laper met malamci,netral
jam gin lapar sen,positif
mie gaco nutup ya gojek,negatif
nyari gmn sih,netral
ga tega banget ngeliat sampe nyari akun gitu,negatif
seblak,netral
jajan min ken banget martabak telur kmaren,positif
ku pikir tantang makan jari lembut geser menu hati lirih hemat hemat hemat,negatif
parah bangetttttttt lapar hujan co aja pke eror k emng bener pake grab sma gojek aja gabisa ngasih forma bagus layan jasa makan mending gausah ngadain kek gtu,negatif
fitur,netral
boba toast nemenin nonton live nya lix ehehe,positif
promoan shopeefoodgofood gasiiii,netral
hari dapat driver order kali rp rp keluar hari bensin rb makan x rb rokok rb butuh dapur rb saran solusi nih,negatif
kalo gofoodshopeefoodgrabfood suka sen penyet sego wader daerah gubeng kertajaya kalo ga salah yg sen kudu jam jam lapar biar ga mati lapar tp sambelnya enak seger cuman nasi emanh dikit ukur penyet,negatif
lumayan jg nampaknya kak bandung klo liat jatinangornya kali yah yg outlet,negatif
bilamana hang lupa tukaq alamat hang sebab cari kat reja eh,negatif
mau,netral
hallo daftar akun driver vvip bulan biar mudah dapet order udah gak sanggup nih hari dapet order doang,negatif
rekomen makan murmer gerlong,positif
drivernya emang mudamuda yaw wkwk,positif
mapnyadrivernya aneh banget udah sesuai titik drivernya pergi,negatif
keluarga bulek semarang bulek guru sdia jajan onlen kek kalo kesana mesti tawar meh order ya gin nih bulek yg gawl beda umur th nan,positif
gin si guwe tuh sen ya sama tuh grab dateng fokus si jaket ya ngambil dah tuh pas sadar loh gin bungkus gak gin gitu ya kreseknya,negatif
asiappp fix gemar berat jajan niih catet nih kamuu tg,positif
bener min yg salah makan mie sukses pas susah,netral
suka gofood diskon,positif
aelahhhhhh mahal dah,negatif
turut gitu barusan order via porsi lumayan,positif
coin ngga ku error drop fee langsung,negatif
ness saran menu katsukai nih,netral
senin barang kaamakanan kalo fee nyaa,netral
gofood mahal makan udah skin carean bingung brow,negatif
mending nyari aman aja kak akun hp diutak atik voc lumayan bgt,positif
kak gitu akun yg pindahin hp gabisa share link dll,negatif
tp tida huah,negatif
jajan langsung telaktir keluarga,positif
jajan udah,positif
sobat mimin kepo nih dapet shopeepay rb mimin pake yuk pilih jajan checkout wishlist,netral
untung order kalo gak grabfood ya,netral
punten bakso yg enak dramga mana yaa yg gofood kalo makasii,netral
lapar ujung scrol menu,negatif
luar kota lapar bisabisanya sen salah alamat wkwkwk,negatif
tau g jls bgt sopi,negatif
dana nder kalo spay abis mulu,negatif
ketemu kang neduh pohon pas lampu merah sunset road sepi banget bli order masuk,negatif
kali jengkel banget astagaaa,negatif
gatau ya nder bungkus makan hari selang seling telor jg sih,netral
la pandai pakai panjang je tu pandang dah grabfood dgn foodpanda nie esok kena masak habis duit ku,netral
maju mundur dah duit tinggal rb nunggu makan enak efek konser konser tebar,negatif
garagara gue lgsg melipir order,positif
eh double order gitu ga si nyelesaiin sen sen,netral
kasih tau rapat gapunya duit dikabarin rapat online beli camil ya scroll emang ya percaya manusia,netral
coba deh daftar gojek grab opsi nambah hasil cowok cewek,netral
ngapa ya kalo chat driver ga kirim mesti pending,negatif
goda kejam,negatif
alhasil pindah haluan,positif
ngiler ak liat tp udah masak,netral
murah,negatif
eh kalo segitu gue bom nyisihin beli pc sih aja kalap sen alias makan mulu,negatif
kadang kalo udh buka suka gak sadar udh tau duit tetep ae beli jajan,negatif
min mksdnya belanja via stars juga,netral
yg bilang formula e ga nyari untung langsung dr tiket tp untung hospitality industry fnb industry dll sekitar situ kabar ga kali aja balap nge gograbshopee warung deket,netral
aja pio random td ayam kemangi gitu nama wkwk,positif
duit gua ko tbtb abis ya asa doang kemaren,netral
cabe min gk suka pedas,netral
sy langgan mula,positif
jam takde order,negatif
teman suami istri daki everest base camp puncak sih jalan org habis juta makan nunggu promo gofoodgrabshopeefood minggir deh,negatif
kak folls bonus shopeepay yg dapet event dipake bayar merchantpulsashopeefood cuman beli barang reguler aja,netral
fyi nder tau ya skrg teknologi yg nama gofood dak ngerti makenya tuhan kaki utk jalan guna,netral
haha yaudah cus rekomendasi mamang ndut,positif
masuk tim bantu terus tim kait kece,netral
scroll kyk dr jam trs udh tau makan ujan deres,negatif
location gue ni messed up banget kek gojek ngawur locationnya mana untung drivernya,netral
beli dr shopeefoodgrab cari vocer ngepotong banyakk,positif
beli aja makan nder kyk porsi potong guede sen ayam geprek pcsmie k,positif
knp box amp co gojek sih grab gaada,negatif
luv gila ni dahla voucher free delivery pastu voucher kat kedai makan tu jugak ahhh diet tu,positif
nyibain ih nam kl pake jd murah k only,positif
beli pempes susu anak,netral
the best pokokna gofood gk pelit,positif
beli via grab minimal beli k yaww vilo gelato tomang yah jgn cabang hehehe aman gamungkin leleh krn dipack pakai dry ice nya kl via ojol dm jgg kokkk,netral
jakarta deket depok tutup mulu kalo sen gojek or huhu,negatif
hr temen kantor pd penasaran sm yg pes trus pas izin ngicip bilang ah beli ah bsk siang,positif
kasih tau mimin sen pakai emoji mimin tebak,netral
kunyit asem tuh asem manis isi gula merahnyaaa enak sih personally suka bgt jamu kunyit asem coba aja cari foodgofood deket rumah km dagang jamu,positif
biaya layan mahal ni gua liat liat,negatif
gubah akun partner staff akun partner admin milik pribadi dr restoran,netral
barusan akhxjwhzjajs habis k aja sih habis k,positif
sabar lambung sebentar pucuk pucuk pucuk,positif
yg jual voucher gofoodshopeefood drop fee nya yaa,netral
nggak temenku beli ga makan,netral
dah gaco depok tutup mulu gedeg bgt w,negatif
ya yg ribet kudu kontak cs,negatif
malu bgt gue,negatif
biaya mahal banget ongkir potong dikit gofood banded udah ga,negatif
iya via k aplikasi promonya kayak,netral
makan ngasal pagi indomie siang ayam geprek apa yg promo tidur jam pagi bangun jam siang kerja seninsabturepeat weekend gabut pulang rumah main sm kucing senin pagi lg kosan ga olahraga,netral
si,netral
stress gw kaga ngirim chat abang aaaaaaaaaaaaaaa,negatif
tgh xde mood harini kn pastu seller pulak mmg kena la rate,negatif
vc yg guna disc k dongg,netral
barusan beli wahahahahahaha dasar manusia,positif
ni foodpanda la awai voucher tunggu la harga,negatif
wkwk,netral
pake indosat buka zonk,negatif
info diskon partner,netral
app lgi down gimana gabisa buka muter mulu nyari makan,negatif
collab nya gofood aku pake,netral
untung gak nge gfood okeh,positif
its saran jajan makasih,netral
suruh gofood aja tp gue pake gofood,positif
hai kak maaf udh bwt km ga nyaman kait kendala km xpress mimin bntu info ya kak,negatif
jimat terok ye pakai ni try beli nasi ayam n ribena laici lepas tu voucher kena bayar rm ja,negatif
serius nanya abang grabfood gofood dll kalo ujan deres diorderin makan tuh neng ato mager sih,netral
first time order pakai ni harap makan jaya,positif
fahamlah orang order grabfood rider tu hantar order kena turun,negatif
oyi mas lek doi jektas lulus kuliah trs dadi driver isin ga,netral
nak minum kopi so order air kee nguyen thru harap brader delivery tu record post kat tiktok la tiber,netral
intern tekan je,positif
bete bgt lg order lg hzzz,netral
seh pas iku sampe juni lak gak salah,netral
yg jamal jg ga sih kakk tbtb muncul,netral
customer banyak customer promoan ajah belagu anjing kalo gak promoan asa pesan makan tengil laku kayak anjing dikit main lapor lapor gak sesuai fakta,negatif
kontol banyak atur customernya kayak anjing dikit main lapor segitu gua udah pake atribut lengkap dilaporin kalo gua gak pake atribut lengkap sampe gua kena ingat aplikasi,negatif
sen tidur gg geming,negatif
aneh ya udah nungguin order dibatalin antem gimana lupa duakali diam tigakali spik ap,negatif
emang pelit banget,negatif
udah jam ngescroll gofood amp bingung makan,negatif
jam tp yg dibicarain udah makan siang capil aja,netral
,netral
gofood klo vc gantung disc nya,netral
gofood grabfood murah,netral
ngerasa salah tu mama ajarin pake pake virtual bg zoom pake gosend pake tiktok jelasin nya ga sabar ngegas,negatif
ya kalo kirim chat driver banget kirim,negatif
tau liat ulas komentar beli,positif
oiya aja,netral
sedia ya,netral
coba maksud gofood milih si goblok anying sia,negatif
berat bet dh,negatif
